time,key
2021-02-15T09:49:07.338,"{'Y'}"
2021-02-15T09:49:07.342,"{'Y'}"
2021-02-15T09:49:07.346,"{'Y'}"
2021-02-15T09:49:07.351,"{'Y'}"
2021-02-15T09:49:07.355,"{'Y'}"
2021-02-15T09:49:07.359,"{'Y'}"
2021-02-15T09:49:07.364,"{'Y'}"
2021-02-15T09:49:07.368,"{'Y'}"
2021-02-15T09:49:07.372,"{'Y'}"
2021-02-15T09:49:07.376,"{'Y'}"
2021-02-15T09:49:07.381,"{'Y'}"
2021-02-15T09:49:07.385,"{'Y'}"
2021-02-15T09:49:07.389,"{'Y'}"
2021-02-15T09:49:07.393,"{'Y'}"
2021-02-15T09:49:07.397,"{'Y'}"
2021-02-15T09:49:07.401,"{'Y'}"
2021-02-15T09:49:07.405,"{'Y'}"
2021-02-15T09:49:07.409,"{'Y'}"
2021-02-15T09:49:07.413,"{'Y'}"
2021-02-15T09:49:07.417,"{'Y'}"
2021-02-15T09:49:07.421,"{'Y'}"
2021-02-15T09:49:07.426,"{'Y'}"
2021-02-15T09:49:07.431,"{'Y'}"
2021-02-15T09:49:07.435,"{'Y'}"
2021-02-15T09:49:07.439,"{'Y'}"
2021-02-15T09:49:07.443,"{'Y'}"
2021-02-15T09:49:07.448,"{'Y'}"
2021-02-15T09:49:07.452,"{'Y'}"
2021-02-15T09:49:07.456,"{'Y'}"
2021-02-15T09:49:07.460,"{'Y'}"
2021-02-15T09:49:07.464,"{'Y'}"
2021-02-15T09:49:07.468,"{'Y'}"
2021-02-15T09:49:07.473,"{'Y'}"
2021-02-15T09:49:07.477,"{'Y'}"
2021-02-15T09:49:07.481,"{'Y'}"
2021-02-15T09:49:07.486,"{'Y'}"
2021-02-15T09:49:07.490,"{'Y'}"
2021-02-15T09:49:07.494,"{'Y'}"
2021-02-15T09:49:07.498,"{'Y'}"
2021-02-15T09:49:07.502,"{'Y'}"
2021-02-15T09:49:07.506,"{'Y'}"
2021-02-15T09:49:07.515,"{}"
2021-02-15T09:49:07.519,"{}"
2021-02-15T09:49:07.523,"{}"
2021-02-15T09:49:07.528,"{}"
2021-02-15T09:49:07.530,"{}"
2021-02-15T09:49:07.534,"{}"
2021-02-15T09:49:07.539,"{}"
2021-02-15T09:49:07.542,"{}"
2021-02-15T09:49:07.547,"{}"
2021-02-15T09:49:07.551,"{}"
2021-02-15T09:49:07.555,"{}"
2021-02-15T09:49:07.559,"{}"
2021-02-15T09:49:07.563,"{}"
2021-02-15T09:49:07.567,"{}"
2021-02-15T09:49:07.571,"{}"
2021-02-15T09:49:07.575,"{}"
2021-02-15T09:49:07.580,"{}"
2021-02-15T09:49:07.584,"{}"
2021-02-15T09:49:07.588,"{}"
2021-02-15T09:49:07.593,"{}"
2021-02-15T09:49:07.597,"{}"
2021-02-15T09:49:07.601,"{}"
2021-02-15T09:49:07.605,"{}"
2021-02-15T09:49:07.610,"{}"
2021-02-15T09:49:07.614,"{}"
2021-02-15T09:49:07.618,"{}"
2021-02-15T09:49:07.622,"{}"
2021-02-15T09:49:07.626,"{}"
2021-02-15T09:49:07.630,"{}"
2021-02-15T09:49:07.634,"{'L'}"
2021-02-15T09:49:07.638,"{'L'}"
2021-02-15T09:49:07.642,"{'L'}"
2021-02-15T09:49:07.647,"{'L'}"
2021-02-15T09:49:07.651,"{'L'}"
2021-02-15T09:49:07.655,"{'L'}"
2021-02-15T09:49:07.660,"{'L'}"
2021-02-15T09:49:07.664,"{'L'}"
2021-02-15T09:49:07.668,"{'L'}"
2021-02-15T09:49:07.672,"{'L'}"
2021-02-15T09:49:07.677,"{'L'}"
2021-02-15T09:49:07.681,"{'L'}"
2021-02-15T09:49:07.685,"{'L'}"
2021-02-15T09:49:07.690,"{'L'}"
2021-02-15T09:49:07.694,"{'L'}"
2021-02-15T09:49:07.699,"{'L'}"
2021-02-15T09:49:07.703,"{'L'}"
2021-02-15T09:49:07.707,"{'L'}"
2021-02-15T09:49:07.712,"{'L'}"
2021-02-15T09:49:07.717,"{'L'}"
2021-02-15T09:49:07.721,"{'L'}"
2021-02-15T09:49:07.725,"{'I','L'}"
2021-02-15T09:49:07.730,"{'I','L'}"
2021-02-15T09:49:07.734,"{'I','L'}"
2021-02-15T09:49:07.739,"{'I','L'}"
2021-02-15T09:49:07.743,"{'I','L'}"
2021-02-15T09:49:07.747,"{'I','L'}"
2021-02-15T09:49:07.751,"{'I','L'}"
2021-02-15T09:49:07.755,"{'I','L'}"
